id,label
114610,7
1146,2
39252,2
56935,7
113433,6
129106,3
138583,7
53192,8
94399,7
148092,5
149293,1
35086,10
146738,9
83025,7
5305,5
93212,3
2421,5
126044,1
1709,0
79004,5
20683,8
118059,6
45939,1
135917,8
16529,7
104268,1
23199,7
114181,4
44651,5
33373,11
145196,8
43541,7
134142,3
138132,5
25588,3
56527,8
1881,7
1763,4
142171,5
142688,8
99658,5
94978,3
78954,8
17470,8
15581,6
62130,8
90733,5
42945,3
41116,8
50354,8
78442,8
25479,5
34758,6
91437,3
65651,11
47986,1
17782,6
125720,7
85638,8
137160,5
7023,5
59376,10
102102,5
43625,10
54224,3
22785,8
7477,8
130512,9
32281,5
36009,7
93893,5
67457,3
90741,7
124922,5
123430,8
144335,10
7917,0
146315,7
4696,2
54523,5
30303,11
112862,5
80000,1
28701,6
82441,0
49128,5
178,0
36508,5
41431,8
90757,5
134947,8
82947,5
16721,7
125232,3
131417,8
67429,7
105609,7
51133,8
66323,7
126027,1
11013,7
91513,3
109084,1
12570,7
58414,2
144192,7
8854,8
59503,7
132561,6
137657,6
135020,7
34594,7
13719,8
70025,3
30415,1
142823,7
147157,7
116938,1
96690,13
109313,7
27445,5
6041,7
94258,8
93578,3
17079,0
137501,10
76529,4
99777,8
147911,7
66805,5
130080,7
93757,6
25278,11
75373,7
140923,6
123039,6
63414,7
56798,5
58388,6
130962,5
67804,7
120872,7
14132,5
33497,7
90785,6
68432,7
61100,7
64547,10
56875,7
120399,1
4117,6
88938,8
61388,7
46697,5
135638,7
77857,6
81194,3
98840,5
149482,6
52687,5
116605,7
64018,1
120959,4
25843,0
73136,7
66034,7
108623,1
66547,7
8953,7
84767,5
139044,8
49163,5
83484,7
111353,8
65482,0
13710,6
116916,6
1484,4
22236,2
129373,7
84813,1
1870,2
106693,8
16181,4
3328,10
65616,8
133136,7
148233,7
26323,10
11861,8
15166,7
106667,8
108831,0
133020,7
68102,7
64274,0
104251,11
85444,3
66254,8
45632,5
9780,7
98476,4
144743,8
116317,7
55422,7
119287,7
45580,7
52981,0
134520,11
58870,7
64789,8
33316,7
106502,7
132259,8
81317,6
141748,7
74166,5
5243,7
112185,3
146703,8
29624,6
129791,8
13013,9
63730,0
27477,11
138271,8
21974,7
116122,8
128856,3
116972,10
79461,8
106924,6
125706,7
3014,1
134480,1
136540,0
93374,8
129851,6
116729,4
58329,7
126324,7
116188,10
145962,7
115189,1
86840,8
35923,8
134696,6
101874,7
6713,7
33135,1
107459,7
31796,0
133851,1
140912,2
110467,7
18051,0
92389,5
68185,7
107479,7
51817,5
79937,8
61904,5
48952,7
87335,8
126062,5
64885,7
57753,7
21722,5
81351,1
12622,5
126926,8
98325,2
67764,7
73459,0
128839,8
1717,7
68019,10
1013,7
138802,1
60148,1
131032,8
72361,2
117031,8
95195,8
146630,7
144252,9
4644,5
11440,8
136816,9
125896,11
113204,7
30232,5
36465,2
62193,7
144437,5
106433,7
19226,3
16281,7
131039,7
78343,7
63947,8
66593,6
128670,7
65807,8
109713,5
57262,5
119459,2
7136,8
29594,2
123360,7
129406,8
140525,7
30198,9
113871,7
30529,7
125026,6
137080,6
30796,7
84938,5
107431,6
142523,8
52365,3
133657,7
75910,5
7084,7
74715,10
112321,5
97394,3
95,5
79564,5
30126,0
22889,5
24428,5
130042,7
75290,8
123558,8
138507,5
118237,1
81113,5
34071,8
80887,7
11624,4
143122,8
12603,5
87187,1
5094,6
117555,8
49071,7
107945,8
54027,10
82342,0
61078,6
68648,5
55330,5
69846,3
76893,7
108243,5
113668,7
24558,0
64427,5
134707,11
32389,6
136545,7
13460,12
128384,7
30199,7
137792,0
28891,7
56867,5
26274,5
146098,7
81445,10
88528,7
74041,8
30272,8
29884,0
95903,7
86404,5
47249,4
77233,7
43377,7
108257,2
124723,5
133304,8
98277,3
146781,7
124097,8
142695,11
82540,8
89030,5
72641,3
17715,0
140211,5
79788,5
78949,7
49851,4
107846,7
123114,8
93441,10
123235,7
39682,5
10405,5
100283,10
20526,7
71585,2
57119,7
21365,8
89584,5
100207,7
53810,0
132143,8
38245,7
78858,4
127135,8
64262,3
132518,7
128783,8
26205,2
45244,8
85454,7
76374,7
6891,7
92153,8
71134,8
98775,8
103725,1
69954,8
77735,2
12573,6
40412,7
134446,8
147275,7
56352,4
81433,7
132195,7
72157,7
118718,7
19512,8
34862,1
142192,5
3283,0
71312,7
139559,3
108850,1
31806,0
94528,8
121117,6
4374,7
76321,5
93640,7
18673,0
28325,6
85145,7
96910,7
55916,7
118132,5
3739,7
8844,5
132958,8
10409,7
72710,7
74990,8
144846,0
119986,3
135916,7
50164,11
106075,1
64121,7
44748,7
8311,8
22606,10
2374,8
111672,0
14425,7
113296,7
2618,1
24833,5
108428,7
24416,5
131144,2
65233,7
104215,11
144121,7
14298,8
93093,8
65197,6
81309,1
68382,0
21920,3
62949,5
119127,8
12199,7
149360,7
76827,6
109771,8
115226,5
1895,8
135298,0
92956,7
2889,7
23020,1
69604,0
15726,7
128473,7
140445,6
37100,6
2408,6
76154,10
129993,8
68798,6
140155,10
19422,5
4692,10
64586,5
115102,4
47960,10
53747,8
141391,8
117589,7
84936,5
108442,1
56154,1
62585,8
6530,6
140913,5
118363,8
90238,7
97300,7
108275,7
90734,7
68352,5
26614,5
148299,7
55035,7
144905,7
132517,4
135386,6
20877,7
11563,7
12837,0
58482,8
72596,1
82829,9
44375,7
119125,5
97905,2
55838,7
105740,8
31767,4
81585,7
60698,4
67623,8
133935,7
102399,4
145865,7
110541,1
27401,7
94878,5
134553,6
45045,8
135011,5
53970,2
110232,8
85937,8
136395,8
51281,8
132871,7
82670,7
86242,0
104481,7
11034,6
102795,7
65237,8
9693,8
77448,1
114500,2
144266,6
8269,8
98034,4
55771,7
47798,11
82525,8
112458,7
55867,7
111628,1
48460,8
112042,4
135302,2
47475,8
4523,0
73178,6
91466,7
117209,2
125053,7
15707,8
144679,7
9690,3
27497,7
132640,3
64619,8
54976,7
108120,1
104440,5
108138,4
38624,5
24635,5
105922,3
3740,5
137973,2
11256,1
27310,8
12794,11
81450,2
27339,7
66198,7
17904,7
107874,7
42734,11
69382,3
15700,7
126272,8
20117,5
125032,2
111635,7
73971,8
86672,7
34426,8
116937,7
34387,0
110720,7
101284,2
99948,9
51473,5
339,3
59311,3
36659,9
25900,3
147276,1
6386,7
116,7
81178,7
130576,8
28259,4
16469,2
51323,8
52132,10
32815,7
77533,8
122315,1
131885,7
922,11
141616,7
133216,1
71844,7
5890,7
2768,5
3909,7
88250,6
62201,7
113329,7
60740,0
111247,5
4196,8
3186,7
36196,1
64353,0
76830,5
125580,6
123053,8
23818,5
118323,0
1658,0
65120,3
113930,7
32325,4
138390,1
16007,5
100670,7
71645,11
46051,7
41643,8
135081,7
34195,7
22594,8
34066,2
77010,8
22508,2
121249,7
81202,4
92479,7
122817,5
32230,7
139339,5
73940,8
61584,8
118950,5
121324,8
15356,5
134510,6
105848,4
102092,5
71421,8
12511,5
138082,7
142924,8
57475,7
60685,5
51650,8
50175,8
63969,0
75992,7
136820,10
126146,8
39384,4
32140,7
3570,5
11193,7
93514,7
145817,7
67707,4
2020,2
25277,8
56972,2
11485,7
51364,2
93025,7
39744,0
85978,6
108439,7
139612,1
36020,8
115267,5
108999,7
25835,0
78813,5
18907,9
15471,10
118779,8
83647,7
89145,5
100861,7
84796,8
11929,7
61024,9
89933,8
21362,5
138973,7
96068,1
37980,0
123609,7
106011,7
33434,1
114577,6
29457,7
130081,7
49371,8
127402,7
113653,7
90075,3
32884,8
105472,7
58640,2
22858,5
84120,5
58012,0
57024,7
59665,3
15895,7
118713,11
21566,5
123192,4
40930,8
69078,5
113326,6
103306,9
17124,7
20291,7
86469,8
32278,7
83341,5
70417,7
113250,7
18043,8
145149,0
22640,1
20905,7
89915,3
7799,7
146226,5
19803,7
41357,1
44957,2
100987,10
134632,7
85506,10
11758,7
79836,10
136858,10
131076,2
47019,5
31786,9
55036,3
84658,8
102073,5
7252,9
92654,1
105097,8
92973,10
1474,5
3930,5
29262,6
113649,7
63858,9
105018,5
98169,3
125445,7
129949,7
83196,8
51686,7
32746,1
81686,0
93976,6
99151,7
64718,7
71783,5
147002,10
51999,10
140322,7
15146,8
50786,7
19118,5
137489,7
43983,1
112376,3
88130,11
58232,8
98858,11
122832,6
523,8
54932,5
86240,7
40561,5
7212,5
70998,5
90525,7
60578,3
22920,7
147633,7
107123,6
3865,6
52420,3
35062,2
107837,5
53953,8
102801,5
19845,11
101355,4
88253,7
117979,8
24474,4
17623,0
92018,7
117546,2
75248,7
83449,1
22267,4
32449,7
82562,8
131661,5
38736,8
134815,7
63111,7
27036,7
41269,5
86745,11
64380,5
38754,0
72493,7
71451,4
94386,6
77641,8
137408,8
65486,5
140952,9
100487,10
66940,8
139327,0
112055,8
65712,8
73836,1
73301,6
47058,4
108097,7
109131,7
1936,3
90626,6
9611,0
51132,2
138078,7
13861,7
139959,6
114530,9
16760,7
77790,7
37741,3
102293,5
85585,8
28916,5
57894,6
126182,7
148731,7
88103,7
137561,7
80073,3
19758,8
122710,7
97456,3
15970,7
3871,8
35113,6
145392,2
73891,5
10298,7
101505,6
20967,2
40360,8
55493,7
96000,8
7271,2
116130,11
111704,8
9839,7
97478,3
99488,3
31809,3
7356,5
61997,10
106074,8
33935,5
12981,0
83786,7
111368,0
67499,7
106606,3
127148,3
107691,6
142674,8
30108,8
74801,7
5444,9
44934,5
104427,8
48152,10
43649,7
69372,3
119181,7
71646,9
102286,8
62838,10
70412,6
27184,7
6661,5
37573,5
31539,9
77815,7
97765,8
19982,8
40428,7
79970,7
67173,7
4189,7
91008,7
37668,7
80833,8
4892,2
48161,0
85760,7
63826,7
103783,5
145061,2
37225,0
9045,7
67873,8
96677,5
122388,7
30799,8
77572,0
9127,8
134651,2
29369,6
130389,0
141132,8
68916,8
15315,8
77153,5
126709,5
4742,7
59834,3
91730,4
65544,7
137778,5
133583,5
17158,3
33319,6
5369,8
15274,7
116955,7
128799,10
85901,8
132330,8
117658,8
11106,10
46757,8
3762,7
80235,10
145627,2
96121,5
138684,8
100439,7
20894,7
53614,3
37968,0
99071,6
125894,7
100703,6
89493,1
121443,7
122387,1
133435,5
85497,3
50493,5
98709,10
18858,5
60655,5
133641,0
123372,4
29063,7
11809,5
18718,5
60176,8
33813,8
71584,5
98755,8
51642,0
101042,3
78351,11
87892,3
103264,7
59068,7
88147,7
117962,5
44704,7
49769,7
47638,7
111311,10
113140,8
49450,1
145461,0
61590,0
30700,7
55110,4
51106,5
9274,7
67175,4
99603,7
113098,7
112612,7
103360,0
11762,7
12859,5
24280,1
109439,5
80324,8
26621,5
15076,7
1409,10
54875,6
47518,1
7489,7
102745,2
63284,0
34675,8
144129,4
22250,7
95072,5
29796,8
130722,7
46147,7
7544,0
86731,7
138868,2
24893,8
132184,6
48842,5
97126,7
38331,3
48821,10
21658,8
50587,7
125126,7
126897,3
97197,8
19064,7
22949,8
83518,8
25074,5
128170,5
26254,7
4161,5
146851,8
19860,7
35317,0
73884,5
130190,5
115044,7
132625,8
89107,10
91041,7
78137,4
63301,7
143909,10
137370,5
111440,7
84951,5
91898,5
104118,0
148771,6
36220,8
67,4
77588,10
42364,7
126132,8
12899,7
84172,7
46637,5
25964,8
117605,8
40356,10
122646,7
85479,5
123437,8
15159,0
16300,6
70603,8
2098,5
66727,6
55027,9
91086,8
108091,5
85599,7
83361,4
6276,0
77033,6
126778,11
94909,0
12038,5
127723,8
53049,7
23076,6
74045,8
40155,5
10891,7
30475,5
55714,3
55462,8
131086,7
128948,10
50878,7
93371,7
101358,7
23777,7
22392,3
124580,8
29453,8
56302,0
130911,11
39026,7
102496,5
15097,8
57040,7
40888,5
36976,6
10600,4
134609,3
131670,7
35473,8
75836,0
149218,11
92824,3
69291,8
26273,7
96912,10
111468,8
82809,8
144185,10
115456,8
35237,7
24865,2
90169,0
53246,8
13322,7
132983,1
148088,5
17299,5
135482,7
7059,6
79112,1
34335,4
53190,8
145264,5
93922,9
52288,10
15898,7
22023,5
31871,7
91978,0
50889,5
147317,7
40276,7
24088,8
73549,7
59516,3
71218,11
65183,7
55846,8
116747,5
136514,9
73912,7
146274,7
74349,8
63962,4
38352,7
45918,0
38385,7
74082,4
97973,0
88307,7
124122,10
83288,7
83977,8
77984,5
107861,10
21307,6
47758,10
112503,5
110468,7
3542,8
5983,4
121570,8
68755,5
143038,1
98568,4
106498,6
70705,5
88326,1
96975,4
106336,7
36385,1
141888,1
55646,7
121634,5
542,7
30968,8
33909,8
24684,7
107045,7
143686,5
85212,5
143495,8
42313,2
78644,10
99245,6
36460,7
37786,4
66148,0
147763,7
130599,0
136139,5
49689,3
129414,8
90540,1
19649,5
100546,8
108412,5
67999,0
16058,4
81817,2
77728,7
121209,7
22560,1
125121,0
147516,1
4672,7
112716,3
58606,0
5815,7
137839,7
55281,10
98938,11
125831,10
117188,8
58206,8
73296,8
102328,5
46058,0
23526,8
5670,2
5855,1
13879,8
87453,5
52245,5
99453,8
31934,5
145997,11
60012,3
94055,1
133574,8
129809,8
3965,4
35797,5
69792,7
112908,3
71014,5
148232,5
58194,8
79442,8
104605,6
47137,2
10050,7
97370,5
753,7
105241,7
113247,3
46478,6
95098,8
3271,7
89580,6
141200,7
110613,7
67590,7
116675,7
49113,7
42552,7
7370,5
86904,2
101801,8
42519,5
79810,8
92715,7
65684,7
127199,7
43973,6
80328,8
117110,10
90073,7
114546,7
84536,8
22570,11
45111,8
23820,5
23825,7
80179,7
73878,7
75815,7
15562,7
698,8
117773,5
51169,3
46212,6
133520,8
64887,4
103371,2
44819,9
79591,2
146100,7
83095,3
43446,7
7545,5
130276,7
127595,7
92595,6
4625,10
63689,7
130403,4
47928,1
126290,1
129080,2
92911,7
72106,7
3891,7
49390,8
62513,7
145428,8
46741,8
50192,6
147323,8
67130,5
31073,8
123776,8
57991,8
140296,7
80221,2
145014,1
106586,7
84913,7
51155,7
140691,8
26014,7
94376,7
50141,8
42049,7
81706,7
147266,5
3457,8
73547,3
6326,1
16831,8
24922,7
113348,7
18434,5
125254,5
128519,8
135109,10
28802,7
115387,8
84725,8
137303,8
216,5
76028,7
126910,0
108601,7
63754,6
69891,7
66497,5
110902,7
2466,0
36263,7
145914,7
17220,5
139507,2
27599,6
52269,1
89731,5
50576,7
120297,7
96733,7
58208,5
114718,0
18173,5
27521,8
61836,5
38456,3
107987,7
43545,5
103975,7
60834,8
66877,0
113584,7
22554,8
147807,7
130164,7
123585,7
82717,7
64945,10
115153,8
56040,9
97382,7
19405,1
124222,9
71582,7
6904,4
27996,4
29657,7
83904,6
112088,7
6552,10
130819,5
26454,5
23388,7
71141,8
132344,2
48886,7
116922,7
39225,3
52403,5
13584,7
126117,7
12233,11
23290,5
108359,5
51815,5
95652,7
21610,7
35012,7
45700,8
21708,7
61385,7
51196,11
3640,0
89732,2
119374,7
102492,5
51887,7
21599,5
14853,6
59190,5
116112,7
46172,7
66334,1
74285,10
131176,5
81948,0
146009,4
59038,5
26515,8
21558,10
72191,7
100511,7
90096,5
81569,5
14593,0
94112,5
112930,10
109413,7
43082,7
103018,7
143105,4
68834,5
91101,7
69258,7
139403,7
14025,7
102477,4
66385,7
121979,8
3435,8
21909,10
70131,7
78590,7
65590,11
127173,0
23963,8
108987,7
90354,7
92466,6
146498,5
67902,0
97145,0
65371,5
53919,8
127211,8
88536,7
108204,6
24424,5
606,7
72364,7
84942,4
94886,5
2221,5
22116,7
91906,5
45773,7
50333,1
81814,1
45913,8
39951,2
12095,2
112624,0
128287,8
82818,8
126203,5
96502,5
14591,7
52760,8
62679,5
112722,7
93604,8
34090,8
30599,8
78169,7
34673,8
98571,3
55155,11
40158,5
20989,8
112341,5
109934,5
90495,0
121230,4
61636,7
132203,5
91522,2
20092,7
116459,7
114049,3
96047,8
133663,7
17004,7
112123,8
149454,11
27673,8
13993,7
120640,8
108344,7
99161,6
98545,0
68594,5
35703,10
147178,8
12196,7
137139,7
63583,7
75006,8
111979,7
2698,7
39581,7
126678,8
56313,8
89158,6
69383,1
15682,7
142418,5
116328,0
12004,10
59444,7
115826,8
146215,8
38274,9
99653,10
56161,8
2146,1
146870,8
669,7
28719,4
35536,7
121799,6
32973,7
103839,7
123736,5
40267,7
146953,10
65560,0
76943,7
86846,5
127241,5
74685,1
85785,8
59805,7
10798,6
144244,7
116035,7
86764,7
24606,11
106658,8
98598,7
126200,8
77543,7
134069,7
50577,5
115932,5
117502,7
57337,8
108104,5
46509,7
88205,1
53611,1
20367,6
83991,7
44010,7
65410,7
148433,1
139896,7
139347,10
28127,4
19183,6
111607,5
32621,7
115384,7
89307,0
47345,9
70877,7
9593,5
38259,6
17217,6
36495,7
73143,7
73054,8
35076,0
38631,7
62648,7
63894,5
33882,5
60364,3
64616,7
60321,3
48509,5
23522,7
135530,1
17689,5
131608,5
12836,1
137121,7
46015,4
65425,7
100228,7
5726,7
145873,5
65431,8
143057,0
11210,7
38064,8
113893,8
16304,0
23899,10
6634,7
31692,3
26039,3
90222,6
56565,1
53582,5
42736,7
1160,7
125458,5
39231,8
130353,7
38933,7
109641,7
27742,0
147655,8
141422,1
99403,2
95839,7
120380,8
1880,5
126221,7
83875,7
16409,7
22811,7
56203,10
95909,3
116154,7
3543,7
44959,5
14910,0
48148,7
113033,8
4972,8
30299,4
38375,10
77750,6
130866,7
19340,8
101785,5
61219,7
30826,5
40368,7
66780,5
110418,6
79988,0
131285,1
102895,7
134118,7
113276,8
4668,0
91540,2
62273,7
27390,2
62369,7
97429,7
31578,8
52718,7
31653,10
15237,3
47752,0
14747,3
33973,8
149358,0
54521,7
1190,10
57237,8
107332,7
60681,8
32517,7
13310,8
48121,7
128387,7
35072,7
108402,7
115709,11
133420,8
74172,0
108408,5
24240,8
111562,0
117583,3
100903,5
43087,6
49819,7
53046,2
96353,7
16935,2
62471,6
55059,8
135189,2
19792,9
64242,8
130720,7
30125,7
67448,10
101072,2
18301,7
139153,6
13075,4
77242,5
28562,7
12991,7
107483,1
106243,8
110839,3
70906,7
140743,5
52031,7
27763,0
22268,11
25992,5
16780,7
118010,8
50182,7
70047,2
97294,8
99884,7
42768,5
39050,7
343,8
101701,5
100146,3
1096,5
101380,0
124336,3
132261,8
24995,7
26007,6
62534,2
61157,7
45651,5
9107,0
55356,10
70697,5
144861,7
128730,8
66072,8
118156,7
98708,4
125725,1
77787,7
137653,7
100981,5
61454,7
81060,7
58720,8
11160,5
62197,0
18845,9
94032,8
100018,10
121375,0
142372,5
18575,0
131429,6
41519,9
33823,7
41783,7
125852,7
101986,7
27484,8
142092,5
12003,7
120593,7
133018,7
111634,7
93398,8
73314,6
99984,1
106919,6
125264,7
85890,8
42496,5
62640,10
52838,7
49766,5
46601,6
118490,5
108025,0
88626,7
19029,3
105727,4
65064,7
145922,5
21456,1
3698,7
69984,6
144901,7
137481,7
70079,10
146920,8
41782,2
96383,8
43263,8
89124,8
23870,4
116089,7
93563,5
52198,7
19416,8
131275,11
8333,7
124303,7
62989,0
118469,8
21405,5
132997,5
143352,7
69404,7
107765,7
1158,10
8161,0
120374,3
104566,8
144386,1
144792,7
146769,1
77325,1
5374,8
138416,5
92592,10
95819,2
54839,11
103373,7
3572,11
12611,0
1799,5
113560,2
60896,5
5197,5
31695,7
4875,8
120922,5
87114,7
141307,7
132421,10
18331,4
13038,1
39672,7
102027,2
77536,7
6562,10
36145,11
50601,7
15751,8
7604,7
36207,8
20869,1
36449,7
8692,0
54497,11
141094,0
69453,8
105746,10
82784,7
135186,9
8237,5
61123,10
67621,5
32503,8
108092,8
6945,10
118839,8
75234,9
36597,6
144789,5
